No,Yes,actual,tp,fp,sensitivity,fpr,specificity,precision,dataset,method,seed
0.7682053382458632,0.23179466175413677,No,1,0,0.02222222222222222,0,1,1,seq_SLURM_gl_rf,glmnet,100
0.7573533386019546,0.2426466613980453,No,2,0,0.04444444444444444,0,1,1,seq_SLURM_gl_rf,glmnet,100
0.7459256502413096,0.2540743497586904,No,3,0,0.06666666666666667,0,1,1,seq_SLURM_gl_rf,glmnet,100
0.722065534350874,0.2779344656491261,No,4,0,0.08888888888888889,0,1,1,seq_SLURM_gl_rf,glmnet,100
0.7196054500238047,0.28039454997619534,No,5,0,0.1111111111111111,0,1,1,seq_SLURM_gl_rf,glmnet,100
0.7169538411052389,0.28304615889476115,Yes,5,1,0.1111111111111111,0.02702702702702703,0.972972972972973,0.8333333333333334,seq_SLURM_gl_rf,glmnet,100
0.7025720652249625,0.2974279347750375,No,6,1,0.13333333333333333,0.02702702702702703,0.972972972972973,0.8571428571428571,seq_SLURM_gl_rf,glmnet,100
0.6953301658567428,0.30466983414325716,No,7,1,0.15555555555555556,0.02702702702702703,0.972972972972973,0.875,seq_SLURM_gl_rf,glmnet,100
0.685877367565412,0.314122632434588,No,8,1,0.17777777777777778,0.02702702702702703,0.972972972972973,0.8888888888888888,seq_SLURM_gl_rf,glmnet,100
0.6817135248934627,0.31828647510653735,No,9,1,0.2,0.02702702702702703,0.972972972972973,0.9,seq_SLURM_gl_rf,glmnet,100
0.6755919334484128,0.3244080665515872,No,10,1,0.2222222222222222,0.02702702702702703,0.972972972972973,0.9090909090909092,seq_SLURM_gl_rf,glmnet,100
0.6692438029615331,0.33075619703846687,No,11,1,0.24444444444444444,0.02702702702702703,0.972972972972973,0.9166666666666666,seq_SLURM_gl_rf,glmnet,100
0.6558734887660649,0.3441265112339351,No,12,1,0.26666666666666666,0.02702702702702703,0.972972972972973,0.9230769230769232,seq_SLURM_gl_rf,glmnet,100
0.6550290698618315,0.3449709301381685,No,13,1,0.28888888888888886,0.02702702702702703,0.972972972972973,0.9285714285714286,seq_SLURM_gl_rf,glmnet,100
0.6487240465996581,0.3512759534003419,No,14,1,0.3111111111111111,0.02702702702702703,0.972972972972973,0.9333333333333332,seq_SLURM_gl_rf,glmnet,100
0.6485738008471116,0.3514261991528884,No,15,1,0.3333333333333333,0.02702702702702703,0.972972972972973,0.9375,seq_SLURM_gl_rf,glmnet,100
0.6466213949158746,0.3533786050841255,No,16,1,0.35555555555555557,0.02702702702702703,0.972972972972973,0.9411764705882352,seq_SLURM_gl_rf,glmnet,100
0.6462092049097381,0.35379079509026196,No,17,1,0.37777777777777777,0.02702702702702703,0.972972972972973,0.9444444444444444,seq_SLURM_gl_rf,glmnet,100
0.642334985520067,0.35766501447993304,No,18,1,0.4,0.02702702702702703,0.972972972972973,0.9473684210526316,seq_SLURM_gl_rf,glmnet,100
0.631775845473199,0.368224154526801,No,19,1,0.4222222222222222,0.02702702702702703,0.972972972972973,0.95,seq_SLURM_gl_rf,glmnet,100
0.6259417335037374,0.37405826649626256,No,20,1,0.4444444444444444,0.02702702702702703,0.972972972972973,0.9523809523809524,seq_SLURM_gl_rf,glmnet,100
0.625763896258491,0.37423610374150895,No,21,1,0.4666666666666667,0.02702702702702703,0.972972972972973,0.9545454545454546,seq_SLURM_gl_rf,glmnet,100
0.6204623003058207,0.3795376996941794,No,22,1,0.4888888888888889,0.02702702702702703,0.972972972972973,0.9565217391304348,seq_SLURM_gl_rf,glmnet,100
0.617936178669428,0.382063821330572,No,23,1,0.5111111111111111,0.02702702702702703,0.972972972972973,0.9583333333333334,seq_SLURM_gl_rf,glmnet,100
0.6172840971623528,0.3827159028376472,No,24,1,0.5333333333333333,0.02702702702702703,0.972972972972973,0.96,seq_SLURM_gl_rf,glmnet,100
0.6167141545802313,0.3832858454197688,Yes,24,2,0.5333333333333333,0.05405405405405406,0.945945945945946,0.9230769230769232,seq_SLURM_gl_rf,glmnet,100
0.6143695972540073,0.3856304027459927,No,25,2,0.5555555555555556,0.05405405405405406,0.945945945945946,0.925925925925926,seq_SLURM_gl_rf,glmnet,100
0.6142712207632356,0.3857287792367644,No,26,2,0.5777777777777777,0.05405405405405406,0.945945945945946,0.9285714285714286,seq_SLURM_gl_rf,glmnet,100
0.6084872783683335,0.39151272163166656,No,27,2,0.6,0.05405405405405406,0.945945945945946,0.9310344827586208,seq_SLURM_gl_rf,glmnet,100
0.6084826717093845,0.39151732829061553,No,28,2,0.6222222222222222,0.05405405405405406,0.945945945945946,0.9333333333333332,seq_SLURM_gl_rf,glmnet,100
0.607971900168575,0.392028099831425,No,29,2,0.6444444444444445,0.05405405405405406,0.945945945945946,0.935483870967742,seq_SLURM_gl_rf,glmnet,100
0.5958854735427366,0.4041145264572635,No,30,2,0.6666666666666666,0.05405405405405406,0.945945945945946,0.9375,seq_SLURM_gl_rf,glmnet,100
0.5951918395896627,0.4048081604103373,Yes,30,3,0.6666666666666666,0.08108108108108109,0.9189189189189187,0.9090909090909092,seq_SLURM_gl_rf,glmnet,100
0.5888877445860183,0.4111122554139817,No,31,3,0.6888888888888889,0.08108108108108109,0.9189189189189187,0.9117647058823528,seq_SLURM_gl_rf,glmnet,100
0.5877157195396137,0.41228428046038634,Yes,31,4,0.6888888888888889,0.10810810810810811,0.8918918918918919,0.8857142857142857,seq_SLURM_gl_rf,glmnet,100
0.5870186712998711,0.41298132870012894,No,32,4,0.7111111111111111,0.10810810810810811,0.8918918918918919,0.8888888888888888,seq_SLURM_gl_rf,glmnet,100
0.5839966878829828,0.4160033121170172,No,33,4,0.7333333333333333,0.10810810810810811,0.8918918918918919,0.8918918918918919,seq_SLURM_gl_rf,glmnet,100
0.5834098664027675,0.4165901335972325,No,34,4,0.7555555555555555,0.10810810810810811,0.8918918918918919,0.8947368421052632,seq_SLURM_gl_rf,glmnet,100
0.5723920066740595,0.42760799332594046,No,35,4,0.7777777777777778,0.10810810810810811,0.8918918918918919,0.8974358974358975,seq_SLURM_gl_rf,glmnet,100
0.5707479118514089,0.42925208814859106,Yes,35,5,0.7777777777777778,0.13513513513513514,0.8648648648648649,0.875,seq_SLURM_gl_rf,glmnet,100
0.5688495811863783,0.4311504188136217,No,36,5,0.8,0.13513513513513514,0.8648648648648649,0.8780487804878049,seq_SLURM_gl_rf,glmnet,100
0.5683926499348565,0.4316073500651435,Yes,36,6,0.8,0.16216216216216217,0.8378378378378378,0.8571428571428571,seq_SLURM_gl_rf,glmnet,100
0.5662207036989961,0.4337792963010038,Yes,36,7,0.8,0.1891891891891892,0.8108108108108107,0.8372093023255814,seq_SLURM_gl_rf,glmnet,100
0.5654561130703588,0.4345438869296413,Yes,36,8,0.8,0.21621621621621623,0.7837837837837838,0.8181818181818182,seq_SLURM_gl_rf,glmnet,100
0.564726144441111,0.435273855558889,No,37,8,0.8222222222222222,0.21621621621621623,0.7837837837837838,0.8222222222222222,seq_SLURM_gl_rf,glmnet,100
