Available,Unavailable,actual,tp,fp,sensitivity,fpr,specificity,precision,dataset,method,seed
0.8702375048286513,0.12976249517134875,Available,1,0,0.03846153846153846,0,1,1,data_avail_glmnet,glmnet,100
0.8525249406618698,0.1474750593381303,Available,2,0,0.07692307692307693,0,1,1,data_avail_glmnet,glmnet,100
0.8354130561441173,0.16458694385588274,Available,3,0,0.1153846153846154,0,1,1,data_avail_glmnet,glmnet,100
0.8266955892310556,0.1733044107689444,Available,4,0,0.15384615384615383,0,1,1,data_avail_glmnet,glmnet,100
0.8234468801853007,0.17655311981469932,Available,5,0,0.19230769230769232,0,1,1,data_avail_glmnet,glmnet,100
0.8164754910449854,0.1835245089550146,Available,6,0,0.2307692307692308,0,1,1,data_avail_glmnet,glmnet,100
0.7992118768047018,0.20078812319529812,Available,7,0,0.2692307692307692,0,1,1,data_avail_glmnet,glmnet,100
0.7952057848776539,0.204794215122346,Available,8,0,0.3076923076923077,0,1,1,data_avail_glmnet,glmnet,100
0.7693341904665717,0.23066580953342833,Unavailable,8,1,0.3076923076923077,0.09090909090909093,0.9090909090909092,0.8888888888888888,data_avail_glmnet,glmnet,100
0.7643436408741769,0.23565635912582308,Available,9,1,0.34615384615384615,0.09090909090909093,0.9090909090909092,0.9,data_avail_glmnet,glmnet,100
0.7631829598280179,0.2368170401719821,Available,10,1,0.38461538461538464,0.09090909090909093,0.9090909090909092,0.9090909090909092,data_avail_glmnet,glmnet,100
0.7602040459999838,0.23979595400001616,Available,11,1,0.4230769230769231,0.09090909090909093,0.9090909090909092,0.9166666666666666,data_avail_glmnet,glmnet,100
0.7415294197194822,0.2584705802805178,Available,12,1,0.4615384615384616,0.09090909090909093,0.9090909090909092,0.9230769230769232,data_avail_glmnet,glmnet,100
0.7262789842728337,0.2737210157271664,Available,13,1,0.5,0.09090909090909093,0.9090909090909092,0.9285714285714286,data_avail_glmnet,glmnet,100
0.7259748196035849,0.27402518039641505,Available,14,1,0.5384615384615384,0.09090909090909093,0.9090909090909092,0.9333333333333332,data_avail_glmnet,glmnet,100
0.7047970654126301,0.29520293458736985,Unavailable,14,2,0.5384615384615384,0.18181818181818185,0.8181818181818181,0.875,data_avail_glmnet,glmnet,100
0.7037539244974242,0.2962460755025758,Available,15,2,0.5769230769230769,0.18181818181818185,0.8181818181818181,0.8823529411764706,data_avail_glmnet,glmnet,100
0.6918212515571044,0.3081787484428956,Available,16,2,0.6153846153846154,0.18181818181818185,0.8181818181818181,0.8888888888888888,data_avail_glmnet,glmnet,100
0.6800872375610194,0.31991276243898054,Available,17,2,0.6538461538461539,0.18181818181818185,0.8181818181818181,0.8947368421052632,data_avail_glmnet,glmnet,100
0.6771550376896495,0.32284496231035054,Unavailable,17,3,0.6538461538461539,0.2727272727272727,0.7272727272727273,0.85,data_avail_glmnet,glmnet,100
0.6759714778608814,0.32402852213911865,Available,18,3,0.6923076923076923,0.2727272727272727,0.7272727272727273,0.8571428571428571,data_avail_glmnet,glmnet,100
