perf_metric,perf_metric_diff,pvalue,names,method,perf_metric_name,seed,dataset
0.6775689562269132,3.587997233478468e-5,0.1782178217821782,ab,glmnet,logLoss,100,words-mini_SLURM
0.6776188379755306,-1.4001776282634992e-5,0.6633663366336634,ability,glmnet,logLoss,100,words-mini_SLURM
0.6776000486259731,4.7875732748225985e-6,0.22772277227722773,absence,glmnet,logLoss,100,words-mini_SLURM
0.6771113805000691,4.934556991788019e-4,0.38613861386138615,absent,glmnet,logLoss,100,words-mini_SLURM
0.6779299324031389,-3.2509620389098437e-4,0.8910891089108911,absorbance,glmnet,logLoss,100,words-mini_SLURM
0.6770374257506973,5.67410448550687e-4,0.04950495049504951,abundance,glmnet,logLoss,100,words-mini_SLURM
0.6777571093166529,-1.522731174049552e-4,0.6732673267326733,abundant|avoid|extensively|interface,glmnet,logLoss,100,words-mini_SLURM
0.6776048361992479,0,1,accessible,glmnet,logLoss,100,words-mini_SLURM
0.6797410571454026,-0.00213622094615462,0.8514851485148515,accession,glmnet,logLoss,100,words-mini_SLURM
0.6775886566172714,1.617958197652758e-5,0.13861386138613865,access|apparent,glmnet,logLoss,100,words-mini_SLURM
0.6770897465875431,5.150896117048775e-4,0.26732673267326734,accordance,glmnet,logLoss,100,words-mini_SLURM
0.6778211369186584,-2.1630071941047824e-4,0.8217821782178217,account,glmnet,logLoss,100,words-mini_SLURM
0.6774702804062717,1.345557929762764e-4,0.0594059405940594,accounting,glmnet,logLoss,100,words-mini_SLURM
0.6774367357419787,1.6810045726922684e-4,0.4158415841584158,accumulated,glmnet,logLoss,100,words-mini_SLURM
0.6776046805260703,1.5567317768194758e-7,0.504950495049505,accumulation,glmnet,logLoss,100,words-mini_SLURM
0.6775393260993814,6.551009986655032e-5,0.0891089108910891,accuracy,glmnet,logLoss,100,words-mini_SLURM
0.6776712303053224,-6.639410607445217e-5,0.9405940594059404,accurate,glmnet,logLoss,100,words-mini_SLURM
0.6776818127242129,-7.697652496496676e-5,0.6336633663366337,acetate,glmnet,logLoss,100,words-mini_SLURM
0.677603480308764,1.3558904838895105e-6,0.36633663366336633,achieved,glmnet,logLoss,100,words-mini_SLURM
0.6775370917548819,6.774444436608018e-5,0.3465346534653465,acid,glmnet,logLoss,100,words-mini_SLURM
0.6778003387216152,-1.955025223672191e-4,0.8415841584158416,acids,glmnet,logLoss,100,words-mini_SLURM
0.677382672599201,2.221636000468985e-4,0.26732673267326734,acknowledge,glmnet,logLoss,100,words-mini_SLURM
0.6776472647946669,-4.2428595418919635e-5,0.5643564356435643,acknowledgments,glmnet,logLoss,100,words-mini_SLURM
0.6776202455806603,-1.5409381412312406e-5,0.5742574257425742,acquire,glmnet,logLoss,100,words-mini_SLURM
0.6776038041040442,1.0320952037456976e-6,0.3465346534653465,acquired,glmnet,logLoss,100,words-mini_SLURM
0.6772434475735063,3.613886257416432e-4,0.15841584158415842,acquisition|intrinsic,glmnet,logLoss,100,words-mini_SLURM
0.6772553254400475,3.4951075920042207e-4,0.1782178217821782,act,glmnet,logLoss,100,words-mini_SLURM
0.6775825804549092,2.2255744338783856e-5,0.6237623762376238,acting,glmnet,logLoss,100,words-mini_SLURM
0.6775698191756134,3.5017023634509314e-5,0.5148514851485149,action,glmnet,logLoss,100,words-mini_SLURM
0.67755049758693775,5.433861231018966e-5,0.0396039603960396,activate,glmnet,logLoss,100,words-mini_SLURM
0.677602832166999,2.004032248925647e-6,0.48514851485148514,activated,glmnet,logLoss,100,words-mini_SLURM
0.6775612823260109,4.355387323706772e-5,0.2871287128712871,activation,glmnet,logLoss,100,words-mini_SLURM
0.6781934994604628,-5.886632612148723e-4,0.8514851485148515,active,glmnet,logLoss,100,words-mini_SLURM
0.6776482197200119,-4.338352076393992e-5,0.594059405940594,activities,glmnet,logLoss,100,words-mini_SLURM
0.6783889919860296,-7.841557867817039e-4,0.6831683168316832,activity,glmnet,logLoss,100,words-mini_SLURM
0.677403162146551,2.0167405269688743e-4,0.12871287128712872,acute,glmnet,logLoss,100,words-mini_SLURM
0.6778246469918591,-2.1981079261113037e-4,0.9504950495049505,ad,glmnet,logLoss,100,words-mini_SLURM
0.6776048361992479,0,1,adaptation,glmnet,logLoss,100,words-mini_SLURM
0.6778841487432907,-2.793125440427868e-4,0.9603960396039604,adapted|biolabs|complexes|middle|millipore,glmnet,logLoss,100,words-mini_SLURM
0.67770323561659,-9.839941734202108e-5,0.6237623762376238,adaptive,glmnet,logLoss,100,words-mini_SLURM
0.6775940877520247,1.0748447223263293e-5,0.4356435643564357,added,glmnet,logLoss,100,words-mini_SLURM
0.6780154452961578,-4.106090969098197e-4,0.6831683168316832,adding,glmnet,logLoss,100,words-mini_SLURM
0.6775452217378599,5.961446138802451e-5,0.3465346534653465,addition,glmnet,logLoss,100,words-mini_SLURM
0.6778357055648259,-2.308693655779237e-4,0.6732673267326733,additional,glmnet,logLoss,100,words-mini_SLURM
0.6770646392338813,5.401969653666683e-4,0.1188118811881188,additionally,glmnet,logLoss,100,words-mini_SLURM
0.6775838109226636,2.1025276584318853e-5,0.07920792079207921,address,glmnet,logLoss,100,words-mini_SLURM
0.6693082463729767,0.00829658982627123,0.13861386138613865,adjacent,glmnet,logLoss,100,words-mini_SLURM
0.6776048361992479,0,1,adjusted,glmnet,logLoss,100,words-mini_SLURM
0.6772481404745075,3.566957247403968e-4,0.37623762376237624,advantage,glmnet,logLoss,100,words-mini_SLURM
0.6775878520600829,1.6984139165066026e-5,0.49504950495049505,affect,glmnet,logLoss,100,words-mini_SLURM
