No,Yes,actual,tp,fp,sensitivity,fpr,specificity,precision,dataset,method,seed
0.7682053382458632,0.23179466175413677,No,1,0,0.02222222222222222,0,1,1,seq_gl_100s_SLURM,glmnet,100
0.7573533386019546,0.2426466613980453,No,2,0,0.04444444444444444,0,1,1,seq_gl_100s_SLURM,glmnet,100
0.7459256502413096,0.2540743497586904,No,3,0,0.06666666666666667,0,1,1,seq_gl_100s_SLURM,glmnet,100
0.722065534350874,0.2779344656491261,No,4,0,0.08888888888888889,0,1,1,seq_gl_100s_SLURM,glmnet,100
0.7196054500238047,0.28039454997619534,No,5,0,0.1111111111111111,0,1,1,seq_gl_100s_SLURM,glmnet,100
0.7169538411052389,0.28304615889476115,Yes,5,1,0.1111111111111111,0.02702702702702703,0.972972972972973,0.8333333333333334,seq_gl_100s_SLURM,glmnet,100
0.7025720652249625,0.2974279347750375,No,6,1,0.13333333333333333,0.02702702702702703,0.972972972972973,0.8571428571428571,seq_gl_100s_SLURM,glmnet,100
0.6953301658567428,0.30466983414325716,No,7,1,0.15555555555555556,0.02702702702702703,0.972972972972973,0.875,seq_gl_100s_SLURM,glmnet,100
0.685877367565412,0.314122632434588,No,8,1,0.17777777777777778,0.02702702702702703,0.972972972972973,0.8888888888888888,seq_gl_100s_SLURM,glmnet,100
0.6817135248934627,0.31828647510653735,No,9,1,0.2,0.02702702702702703,0.972972972972973,0.9,seq_gl_100s_SLURM,glmnet,100
0.6755919334484128,0.3244080665515872,No,10,1,0.2222222222222222,0.02702702702702703,0.972972972972973,0.9090909090909092,seq_gl_100s_SLURM,glmnet,100
0.6692438029615331,0.33075619703846687,No,11,1,0.24444444444444444,0.02702702702702703,0.972972972972973,0.9166666666666666,seq_gl_100s_SLURM,glmnet,100
0.6558734887660649,0.3441265112339351,No,12,1,0.26666666666666666,0.02702702702702703,0.972972972972973,0.9230769230769232,seq_gl_100s_SLURM,glmnet,100
0.6550290698618315,0.3449709301381685,No,13,1,0.28888888888888886,0.02702702702702703,0.972972972972973,0.9285714285714286,seq_gl_100s_SLURM,glmnet,100
0.6487240465996581,0.3512759534003419,No,14,1,0.3111111111111111,0.02702702702702703,0.972972972972973,0.9333333333333332,seq_gl_100s_SLURM,glmnet,100
0.6485738008471116,0.3514261991528884,No,15,1,0.3333333333333333,0.02702702702702703,0.972972972972973,0.9375,seq_gl_100s_SLURM,glmnet,100
0.6466213949158746,0.3533786050841255,No,16,1,0.35555555555555557,0.02702702702702703,0.972972972972973,0.9411764705882352,seq_gl_100s_SLURM,glmnet,100
0.6462092049097381,0.35379079509026196,No,17,1,0.37777777777777777,0.02702702702702703,0.972972972972973,0.9444444444444444,seq_gl_100s_SLURM,glmnet,100
0.642334985520067,0.35766501447993304,No,18,1,0.4,0.02702702702702703,0.972972972972973,0.9473684210526316,seq_gl_100s_SLURM,glmnet,100
0.631775845473199,0.368224154526801,No,19,1,0.4222222222222222,0.02702702702702703,0.972972972972973,0.95,seq_gl_100s_SLURM,glmnet,100
0.6259417335037374,0.37405826649626256,No,20,1,0.4444444444444444,0.02702702702702703,0.972972972972973,0.9523809523809524,seq_gl_100s_SLURM,glmnet,100
0.625763896258491,0.37423610374150895,No,21,1,0.4666666666666667,0.02702702702702703,0.972972972972973,0.9545454545454546,seq_gl_100s_SLURM,glmnet,100
0.6204623003058207,0.3795376996941794,No,22,1,0.4888888888888889,0.02702702702702703,0.972972972972973,0.9565217391304348,seq_gl_100s_SLURM,glmnet,100
0.617936178669428,0.382063821330572,No,23,1,0.5111111111111111,0.02702702702702703,0.972972972972973,0.9583333333333334,seq_gl_100s_SLURM,glmnet,100
0.6172840971623528,0.3827159028376472,No,24,1,0.5333333333333333,0.02702702702702703,0.972972972972973,0.96,seq_gl_100s_SLURM,glmnet,100
0.6167141545802313,0.3832858454197688,Yes,24,2,0.5333333333333333,0.05405405405405406,0.945945945945946,0.9230769230769232,seq_gl_100s_SLURM,glmnet,100
0.6143695972540073,0.3856304027459927,No,25,2,0.5555555555555556,0.05405405405405406,0.945945945945946,0.925925925925926,seq_gl_100s_SLURM,glmnet,100
0.6142712207632356,0.3857287792367644,No,26,2,0.5777777777777777,0.05405405405405406,0.945945945945946,0.9285714285714286,seq_gl_100s_SLURM,glmnet,100
0.6084872783683335,0.39151272163166656,No,27,2,0.6,0.05405405405405406,0.945945945945946,0.9310344827586208,seq_gl_100s_SLURM,glmnet,100
0.6084826717093845,0.39151732829061553,No,28,2,0.6222222222222222,0.05405405405405406,0.945945945945946,0.9333333333333332,seq_gl_100s_SLURM,glmnet,100
0.607971900168575,0.392028099831425,No,29,2,0.6444444444444445,0.05405405405405406,0.945945945945946,0.935483870967742,seq_gl_100s_SLURM,glmnet,100
0.5958854735427366,0.4041145264572635,No,30,2,0.6666666666666666,0.05405405405405406,0.945945945945946,0.9375,seq_gl_100s_SLURM,glmnet,100
0.5951918395896627,0.4048081604103373,Yes,30,3,0.6666666666666666,0.08108108108108109,0.9189189189189187,0.9090909090909092,seq_gl_100s_SLURM,glmnet,100
0.5888877445860183,0.4111122554139817,No,31,3,0.6888888888888889,0.08108108108108109,0.9189189189189187,0.9117647058823528,seq_gl_100s_SLURM,glmnet,100
0.5877157195396137,0.41228428046038634,Yes,31,4,0.6888888888888889,0.10810810810810811,0.8918918918918919,0.8857142857142857,seq_gl_100s_SLURM,glmnet,100
0.5870186712998711,0.41298132870012894,No,32,4,0.7111111111111111,0.10810810810810811,0.8918918918918919,0.8888888888888888,seq_gl_100s_SLURM,glmnet,100
0.5839966878829828,0.4160033121170172,No,33,4,0.7333333333333333,0.10810810810810811,0.8918918918918919,0.8918918918918919,seq_gl_100s_SLURM,glmnet,100
0.5834098664027675,0.4165901335972325,No,34,4,0.7555555555555555,0.10810810810810811,0.8918918918918919,0.8947368421052632,seq_gl_100s_SLURM,glmnet,100
0.5723920066740595,0.42760799332594046,No,35,4,0.7777777777777778,0.10810810810810811,0.8918918918918919,0.8974358974358975,seq_gl_100s_SLURM,glmnet,100
0.5707479118514089,0.42925208814859106,Yes,35,5,0.7777777777777778,0.13513513513513514,0.8648648648648649,0.875,seq_gl_100s_SLURM,glmnet,100
0.5688495811863783,0.4311504188136217,No,36,5,0.8,0.13513513513513514,0.8648648648648649,0.8780487804878049,seq_gl_100s_SLURM,glmnet,100
0.5683926499348565,0.4316073500651435,Yes,36,6,0.8,0.16216216216216217,0.8378378378378378,0.8571428571428571,seq_gl_100s_SLURM,glmnet,100
0.5662207036989961,0.4337792963010038,Yes,36,7,0.8,0.1891891891891892,0.8108108108108107,0.8372093023255814,seq_gl_100s_SLURM,glmnet,100
0.5654561130703588,0.4345438869296413,Yes,36,8,0.8,0.21621621621621623,0.7837837837837838,0.8181818181818182,seq_gl_100s_SLURM,glmnet,100
0.564726144441111,0.435273855558889,No,37,8,0.8222222222222222,0.21621621621621623,0.7837837837837838,0.8222222222222222,seq_gl_100s_SLURM,glmnet,100
0.5645542789763858,0.4354457210236143,Yes,37,9,0.8222222222222222,0.24324324324324328,0.7567567567567568,0.8043478260869565,seq_gl_100s_SLURM,glmnet,100
0.5600914813357298,0.4399085186642702,Yes,37,10,0.8222222222222222,0.2702702702702703,0.7297297297297297,0.7872340425531915,seq_gl_100s_SLURM,glmnet,100
0.5595751675863825,0.4404248324136175,No,38,10,0.8444444444444444,0.2702702702702703,0.7297297297297297,0.7916666666666666,seq_gl_100s_SLURM,glmnet,100
0.5579529224728746,0.44204707752712535,Yes,38,11,0.8444444444444444,0.2972972972972973,0.7027027027027026,0.7755102040816326,seq_gl_100s_SLURM,glmnet,100
0.5460512263504826,0.45394877364951736,No,39,11,0.8666666666666667,0.2972972972972973,0.7027027027027026,0.78,seq_gl_100s_SLURM,glmnet,100
0.5332002999651846,0.4667997000348154,No,40,11,0.8888888888888888,0.2972972972972973,0.7027027027027026,0.7843137254901961,seq_gl_100s_SLURM,glmnet,100
0.5331549156571718,0.4668450843428282,Yes,40,12,0.8888888888888888,0.32432432432432434,0.6756756756756757,0.7692307692307693,seq_gl_100s_SLURM,glmnet,100
0.5286275834678531,0.47137241653214695,Yes,40,13,0.8888888888888888,0.35135135135135137,0.6486486486486487,0.7547169811320755,seq_gl_100s_SLURM,glmnet,100
0.5268991052294357,0.4731008947705643,No,41,13,0.9111111111111112,0.35135135135135137,0.6486486486486487,0.7592592592592593,seq_gl_100s_SLURM,glmnet,100
0.5168588053533664,0.4831411946466336,Yes,41,14,0.9111111111111112,0.3783783783783784,0.6216216216216216,0.7454545454545455,seq_gl_100s_SLURM,glmnet,100
0.5152661398991645,0.4847338601008355,No,42,14,0.9333333333333332,0.3783783783783784,0.6216216216216216,0.75,seq_gl_100s_SLURM,glmnet,100
0.5146170799467413,0.4853829200532587,Yes,42,15,0.9333333333333332,0.40540540540540543,0.5945945945945945,0.7368421052631579,seq_gl_100s_SLURM,glmnet,100
0.5119288378531897,0.4880711621468103,Yes,42,16,0.9333333333333332,0.43243243243243246,0.5675675675675675,0.7241379310344828,seq_gl_100s_SLURM,glmnet,100
0.5091977485058814,0.4908022514941186,Yes,42,17,0.9333333333333332,0.4594594594594595,0.5405405405405406,0.711864406779661,seq_gl_100s_SLURM,glmnet,100
0.5056792212332203,0.4943207787667797,Yes,42,18,0.9333333333333332,0.4864864864864865,0.5135135135135135,0.7,seq_gl_100s_SLURM,glmnet,100
0.49388985279835906,0.5061101472016409,Yes,42,19,0.9333333333333332,0.5135135135135135,0.4864864864864865,0.6885245901639344,seq_gl_100s_SLURM,glmnet,100
0.4910852699356789,0.5089147300643211,Yes,42,20,0.9333333333333332,0.5405405405405406,0.45945945945945943,0.6774193548387096,seq_gl_100s_SLURM,glmnet,100
0.4909119179233614,0.5090880820766386,Yes,42,21,0.9333333333333332,0.5675675675675675,0.43243243243243246,0.6666666666666666,seq_gl_100s_SLURM,glmnet,100
0.48930312696714173,0.5106968730328583,Yes,42,22,0.9333333333333332,0.5945945945945946,0.4054054054054054,0.65625,seq_gl_100s_SLURM,glmnet,100
0.489063036342108,0.510936963657892,No,43,22,0.9555555555555556,0.5945945945945946,0.4054054054054054,0.6615384615384615,seq_gl_100s_SLURM,glmnet,100
0.4886112491369544,0.5113887508630456,Yes,43,23,0.9555555555555556,0.6216216216216216,0.3783783783783784,0.6515151515151515,seq_gl_100s_SLURM,glmnet,100
0.4879218768574497,0.5120781231425503,Yes,43,24,0.9555555555555556,0.6486486486486487,0.3513513513513513,0.6417910447761194,seq_gl_100s_SLURM,glmnet,100
0.48786946695712485,0.5121305330428751,Yes,43,25,0.9555555555555556,0.6756756756756757,0.32432432432432434,0.6323529411764706,seq_gl_100s_SLURM,glmnet,100
0.4854966063823686,0.5145033936176314,Yes,43,26,0.9555555555555556,0.7027027027027027,0.29729729729729726,0.6231884057971014,seq_gl_100s_SLURM,glmnet,100
0.48540722302534633,0.5145927769746537,Yes,43,27,0.9555555555555556,0.7297297297297297,0.2702702702702703,0.6142857142857143,seq_gl_100s_SLURM,glmnet,100
0.4793459534414781,0.5206540465585219,Yes,43,28,0.9555555555555556,0.7567567567567568,0.2432432432432432,0.6056338028169014,seq_gl_100s_SLURM,glmnet,100
0.4715980366273096,0.5284019633726904,No,44,28,0.9777777777777776,0.7567567567567568,0.2432432432432432,0.6111111111111112,seq_gl_100s_SLURM,glmnet,100
0.4679920740080399,0.5320079259919601,Yes,44,29,0.9777777777777776,0.7837837837837838,0.21621621621621623,0.6027397260273972,seq_gl_100s_SLURM,glmnet,100
