No,Yes,actual,tp,fp,sensitivity,fpr,specificity,precision,dataset,method,seed
0.7682053382441887,0.2317946617558113,No,1,0,0.02222222222222222,0,1,1,400_papers_glmnet,glmnet,100
0.7573533385999449,0.2426466614000551,No,2,0,0.04444444444444444,0,1,1,400_papers_glmnet,glmnet,100
0.7459256502401176,0.2540743497598824,No,3,0,0.06666666666666667,0,1,1,400_papers_glmnet,glmnet,100
0.7220655343490914,0.2779344656509087,No,4,0,0.08888888888888889,0,1,1,400_papers_glmnet,glmnet,100
0.7196054500228308,0.2803945499771692,No,5,0,0.1111111111111111,0,1,1,400_papers_glmnet,glmnet,100
0.7169538411041986,0.2830461588958014,Yes,5,1,0.1111111111111111,0.02702702702702703,0.972972972972973,0.8333333333333334,400_papers_glmnet,glmnet,100
0.7025720652237273,0.2974279347762727,No,6,1,0.13333333333333333,0.02702702702702703,0.972972972972973,0.8571428571428571,400_papers_glmnet,glmnet,100
0.6953301658557409,0.30466983414425913,No,7,1,0.15555555555555556,0.02702702702702703,0.972972972972973,0.875,400_papers_glmnet,glmnet,100
0.6858773675642261,0.3141226324357739,No,8,1,0.17777777777777778,0.02702702702702703,0.972972972972973,0.8888888888888888,400_papers_glmnet,glmnet,100
0.6817135248927945,0.31828647510720554,No,9,1,0.2,0.02702702702702703,0.972972972972973,0.9,400_papers_glmnet,glmnet,100
0.675591933446924,0.324408066553076,No,10,1,0.2222222222222222,0.02702702702702703,0.972972972972973,0.9090909090909092,400_papers_glmnet,glmnet,100
0.6692438029608039,0.3307561970391961,No,11,1,0.24444444444444444,0.02702702702702703,0.972972972972973,0.9166666666666666,400_papers_glmnet,glmnet,100
0.6558734887655692,0.34412651123443083,No,12,1,0.26666666666666666,0.02702702702702703,0.972972972972973,0.9230769230769232,400_papers_glmnet,glmnet,100
0.6550290698607449,0.34497093013925506,No,13,1,0.28888888888888886,0.02702702702702703,0.972972972972973,0.9285714285714286,400_papers_glmnet,glmnet,100
0.6487240465991013,0.3512759534008986,No,14,1,0.3111111111111111,0.02702702702702703,0.972972972972973,0.9333333333333332,400_papers_glmnet,glmnet,100
0.6485738008461874,0.35142619915381257,No,15,1,0.3333333333333333,0.02702702702702703,0.972972972972973,0.9375,400_papers_glmnet,glmnet,100
0.6466213949154773,0.35337860508452273,No,16,1,0.35555555555555557,0.02702702702702703,0.972972972972973,0.9411764705882352,400_papers_glmnet,glmnet,100
0.646209204908982,0.3537907950910179,No,17,1,0.37777777777777777,0.02702702702702703,0.972972972972973,0.9444444444444444,400_papers_glmnet,glmnet,100
0.6423349855192402,0.35766501448075977,No,18,1,0.4,0.02702702702702703,0.972972972972973,0.9473684210526316,400_papers_glmnet,glmnet,100
0.6317758454729463,0.36822415452705376,No,19,1,0.4222222222222222,0.02702702702702703,0.972972972972973,0.95,400_papers_glmnet,glmnet,100
0.6259417335033108,0.3740582664966891,No,20,1,0.4444444444444444,0.02702702702702703,0.972972972972973,0.9523809523809524,400_papers_glmnet,glmnet,100
0.6257638962574193,0.37423610374258065,No,21,1,0.4666666666666667,0.02702702702702703,0.972972972972973,0.9545454545454546,400_papers_glmnet,glmnet,100
0.6204623003053691,0.37953769969463086,No,22,1,0.4888888888888889,0.02702702702702703,0.972972972972973,0.9565217391304348,400_papers_glmnet,glmnet,100
0.6179361786688566,0.3820638213311433,No,23,1,0.5111111111111111,0.02702702702702703,0.972972972972973,0.9583333333333334,400_papers_glmnet,glmnet,100
0.6172840971617244,0.3827159028382756,No,24,1,0.5333333333333333,0.02702702702702703,0.972972972972973,0.96,400_papers_glmnet,glmnet,100
0.616714154579326,0.3832858454206739,Yes,24,2,0.5333333333333333,0.05405405405405406,0.945945945945946,0.9230769230769232,400_papers_glmnet,glmnet,100
0.6143695972532671,0.3856304027467329,No,25,2,0.5555555555555556,0.05405405405405406,0.945945945945946,0.925925925925926,400_papers_glmnet,glmnet,100
0.6142712207625878,0.3857287792374123,No,26,2,0.5777777777777777,0.05405405405405406,0.945945945945946,0.9285714285714286,400_papers_glmnet,glmnet,100
0.6084872783677089,0.39151272163229106,No,27,2,0.6,0.05405405405405406,0.945945945945946,0.9310344827586208,400_papers_glmnet,glmnet,100
0.608482671708636,0.391517328291364,No,28,2,0.6222222222222222,0.05405405405405406,0.945945945945946,0.9333333333333332,400_papers_glmnet,glmnet,100
0.6079719001678239,0.39202809983217607,No,29,2,0.6444444444444445,0.05405405405405406,0.945945945945946,0.935483870967742,400_papers_glmnet,glmnet,100
0.5958854735423704,0.4041145264576295,No,30,2,0.6666666666666666,0.05405405405405406,0.945945945945946,0.9375,400_papers_glmnet,glmnet,100
0.5951918395897784,0.40480816041022166,Yes,30,3,0.6666666666666666,0.08108108108108109,0.9189189189189187,0.9090909090909092,400_papers_glmnet,glmnet,100
0.5888877445864544,0.4111122554135455,No,31,3,0.6888888888888889,0.08108108108108109,0.9189189189189187,0.9117647058823528,400_papers_glmnet,glmnet,100
0.5877157195391165,0.4122842804608835,Yes,31,4,0.6888888888888889,0.10810810810810811,0.8918918918918919,0.8857142857142857,400_papers_glmnet,glmnet,100
0.5870186712998038,0.4129813287001962,No,32,4,0.7111111111111111,0.10810810810810811,0.8918918918918919,0.8888888888888888,400_papers_glmnet,glmnet,100
0.5839966878824978,0.41600331211750213,No,33,4,0.7333333333333333,0.10810810810810811,0.8918918918918919,0.8918918918918919,400_papers_glmnet,glmnet,100
0.583409866402347,0.4165901335976529,No,34,4,0.7555555555555555,0.10810810810810811,0.8918918918918919,0.8947368421052632,400_papers_glmnet,glmnet,100
0.5723920066738815,0.4276079933261186,No,35,4,0.7777777777777778,0.10810810810810811,0.8918918918918919,0.8974358974358975,400_papers_glmnet,glmnet,100
0.5707479118515029,0.42925208814849714,Yes,35,5,0.7777777777777778,0.13513513513513514,0.8648648648648649,0.875,400_papers_glmnet,glmnet,100
0.5688495811859511,0.4311504188140489,No,36,5,0.8,0.13513513513513514,0.8648648648648649,0.8780487804878049,400_papers_glmnet,glmnet,100
0.5683926499346517,0.43160735006534834,Yes,36,6,0.8,0.16216216216216217,0.8378378378378378,0.8571428571428571,400_papers_glmnet,glmnet,100
0.5662207036991053,0.43377929630089473,Yes,36,7,0.8,0.1891891891891892,0.8108108108108107,0.8372093023255814,400_papers_glmnet,glmnet,100
0.5654561130701896,0.43454388692981033,Yes,36,8,0.8,0.21621621621621623,0.7837837837837838,0.8181818181818182,400_papers_glmnet,glmnet,100
0.5647261444410083,0.4352738555589916,No,37,8,0.8222222222222222,0.21621621621621623,0.7837837837837838,0.8222222222222222,400_papers_glmnet,glmnet,100
0.564554278976446,0.435445721023554,Yes,37,9,0.8222222222222222,0.24324324324324328,0.7567567567567568,0.8043478260869565,400_papers_glmnet,glmnet,100
0.5600914813355102,0.4399085186644897,Yes,37,10,0.8222222222222222,0.2702702702702703,0.7297297297297297,0.7872340425531915,400_papers_glmnet,glmnet,100
0.5595751675862047,0.44042483241379526,No,38,10,0.8444444444444444,0.2702702702702703,0.7297297297297297,0.7916666666666666,400_papers_glmnet,glmnet,100
0.5579529224726796,0.4420470775273204,Yes,38,11,0.8444444444444444,0.2972972972972973,0.7027027027027026,0.7755102040816326,400_papers_glmnet,glmnet,100
0.5460512263507376,0.4539487736492624,No,39,11,0.8666666666666667,0.2972972972972973,0.7027027027027026,0.78,400_papers_glmnet,glmnet,100
0.5332002999656762,0.46679970003432386,No,40,11,0.8888888888888888,0.2972972972972973,0.7027027027027026,0.7843137254901961,400_papers_glmnet,glmnet,100
0.5331549156576406,0.4668450843423594,Yes,40,12,0.8888888888888888,0.32432432432432434,0.6756756756756757,0.7692307692307693,400_papers_glmnet,glmnet,100
0.528627583468136,0.47137241653186407,Yes,40,13,0.8888888888888888,0.35135135135135137,0.6486486486486487,0.7547169811320755,400_papers_glmnet,glmnet,100
0.5268991052300345,0.4731008947699655,No,41,13,0.9111111111111112,0.35135135135135137,0.6486486486486487,0.7592592592592593,400_papers_glmnet,glmnet,100
0.5168588053539189,0.4831411946460811,Yes,41,14,0.9111111111111112,0.3783783783783784,0.6216216216216216,0.7454545454545455,400_papers_glmnet,glmnet,100
0.5152661398997782,0.4847338601002218,No,42,14,0.9333333333333332,0.3783783783783784,0.6216216216216216,0.75,400_papers_glmnet,glmnet,100
0.514617079946711,0.485382920053289,Yes,42,15,0.9333333333333332,0.40540540540540543,0.5945945945945945,0.7368421052631579,400_papers_glmnet,glmnet,100
