cv_metric_AUC,logLoss,AUC,prAUC,Accuracy,Kappa,F1,Sensitivity,Specificity,Pos_Pred_Value,Neg_Pred_Value,Precision,Recall,Detection_Rate,Balanced_Accuracy,method,seed,dataset
0.5,0.688381227452862,0.5,0,0.548780487804878,0,0.708661417322835,1,0,0.548780487804878,NA,0.548780487804878,1,0.548780487804878,0.5,glmnet,100,seq_gl_100s
0.5,0.688381227452862,0.5,0,0.548780487804878,0,0.708661417322835,1,0,0.548780487804878,NA,0.548780487804878,1,0.548780487804878,0.5,glmnet,101,seq_gl_100s
0.5,0.688381227452862,0.5,0,0.548780487804878,0,0.708661417322835,1,0,0.548780487804878,NA,0.548780487804878,1,0.548780487804878,0.5,glmnet,102,seq_gl_100s
0.5,0.688381227452862,0.5,0,0.548780487804878,0,0.708661417322835,1,0,0.548780487804878,NA,0.548780487804878,1,0.548780487804878,0.5,glmnet,103,seq_gl_100s
0.5,0.688381227452862,0.5,0,0.548780487804878,0,0.708661417322835,1,0,0.548780487804878,NA,0.548780487804878,1,0.548780487804878,0.5,glmnet,104,seq_gl_100s
0.5,0.688381227452862,0.5,0,0.548780487804878,0,0.708661417322835,1,0,0.548780487804878,NA,0.548780487804878,1,0.548780487804878,0.5,glmnet,105,seq_gl_100s
0.5,0.688381227452863,0.5,0,0.548780487804878,0,NA,0,1,NA,0.548780487804878,NA,0,0,0.5,glmnet,106,seq_gl_100s
0.5,0.688381227452863,0.5,0,0.548780487804878,0,NA,0,1,NA,0.548780487804878,NA,0,0,0.5,glmnet,107,seq_gl_100s
0.5,0.688381227452863,0.5,0,0.548780487804878,0,NA,0,1,NA,0.548780487804878,NA,0,0,0.5,glmnet,108,seq_gl_100s
0.5,0.688381227452862,0.5,0,0.548780487804878,0,0.708661417322835,1,0,0.548780487804878,NA,0.548780487804878,1,0.548780487804878,0.5,glmnet,109,seq_gl_100s
0.5,0.688381227452862,0.5,0,0.548780487804878,0,0.708661417322835,1,0,0.548780487804878,NA,0.548780487804878,1,0.548780487804878,0.5,glmnet,110,seq_gl_100s
0.5,0.688381227452862,0.5,0,0.548780487804878,0,0.708661417322835,1,0,0.548780487804878,NA,0.548780487804878,1,0.548780487804878,0.5,glmnet,111,seq_gl_100s
0.5,0.688381227452862,0.5,0,0.548780487804878,0,0.708661417322835,1,0,0.548780487804878,NA,0.548780487804878,1,0.548780487804878,0.5,glmnet,112,seq_gl_100s
0.5,0.688381227452862,0.5,0,0.548780487804878,0,0.708661417322835,1,0,0.548780487804878,NA,0.548780487804878,1,0.548780487804878,0.5,glmnet,113,seq_gl_100s
0.5,0.688381227452863,0.5,0,0.548780487804878,0,NA,0,1,NA,0.548780487804878,NA,0,0,0.5,glmnet,114,seq_gl_100s
0.5,0.688381227452863,0.5,0,0.548780487804878,0,NA,0,1,NA,0.548780487804878,NA,0,0,0.5,glmnet,115,seq_gl_100s
0.5,0.688381227452862,0.5,0,0.548780487804878,0,0.708661417322835,1,0,0.548780487804878,NA,0.548780487804878,1,0.548780487804878,0.5,glmnet,116,seq_gl_100s
0.5,0.688381227452862,0.5,0,0.548780487804878,0,0.708661417322835,1,0,0.548780487804878,NA,0.548780487804878,1,0.548780487804878,0.5,glmnet,117,seq_gl_100s
0.5,0.688381227452862,0.5,0,0.548780487804878,0,0.708661417322835,1,0,0.548780487804878,NA,0.548780487804878,1,0.548780487804878,0.5,glmnet,118,seq_gl_100s
