No,Yes,actual,tp,fp,sensitivity,fpr,specificity,precision,dataset,method,seed
0.9619512250853178,0.03804877491468216,Yes,0,1,0,0.14285714285714285,0.8571428571428572,0,words-mini,glmnet,100
0.8598753430966284,0.14012465690337156,No,1,1,0.08333333333333333,0.14285714285714285,0.8571428571428572,0.5,words-mini,glmnet,100
0.7954422005223472,0.2045577994776529,No,2,1,0.16666666666666666,0.14285714285714285,0.8571428571428572,0.6666666666666666,words-mini,glmnet,100
0.7799117238285018,0.22008827617149815,No,3,1,0.25,0.14285714285714285,0.8571428571428572,0.75,words-mini,glmnet,100
0.7591159158449742,0.2408840841550258,No,4,1,0.3333333333333333,0.14285714285714285,0.8571428571428572,0.8,words-mini,glmnet,100
0.7090848643754042,0.29091513562459576,No,5,1,0.4166666666666667,0.14285714285714285,0.8571428571428572,0.8333333333333334,words-mini,glmnet,100
0.688968524025005,0.311031475974995,No,6,1,0.5,0.14285714285714285,0.8571428571428572,0.8571428571428571,words-mini,glmnet,100
0.6782499773229693,0.3217500226770307,No,7,1,0.5833333333333334,0.14285714285714285,0.8571428571428572,0.875,words-mini,glmnet,100
0.6637927120541832,0.3362072879458168,Yes,7,2,0.5833333333333334,0.2857142857142857,0.7142857142857143,0.7777777777777778,words-mini,glmnet,100
0.6482568587623982,0.3517431412376017,Yes,7,3,0.5833333333333334,0.42857142857142855,0.5714285714285714,0.7,words-mini,glmnet,100
0.6476788534597384,0.35232114654026164,Yes,7,4,0.5833333333333334,0.5714285714285714,0.4285714285714286,0.6363636363636364,words-mini,glmnet,100
0.6432079372238421,0.35679206277615794,No,8,4,0.6666666666666666,0.5714285714285714,0.4285714285714286,0.6666666666666666,words-mini,glmnet,100
0.625351476438858,0.374648523561142,No,9,4,0.75,0.5714285714285714,0.4285714285714286,0.6923076923076923,words-mini,glmnet,100
0.6252379733375933,0.37476202666240666,No,10,4,0.8333333333333334,0.5714285714285714,0.4285714285714286,0.7142857142857143,words-mini,glmnet,100
0.5859876125334258,0.41401238746657426,No,11,4,0.9166666666666666,0.5714285714285714,0.4285714285714286,0.7333333333333333,words-mini,glmnet,100
0.5484165724812806,0.4515834275187193,No,12,4,1,0.5714285714285714,0.4285714285714286,0.75,words-mini,glmnet,100
0.5241428941717827,0.4758571058282173,Yes,12,5,1,0.7142857142857143,0.2857142857142857,0.7058823529411765,words-mini,glmnet,100
0.4884045557874709,0.5115954442125291,Yes,12,6,1,0.8571428571428571,0.1428571428571429,0.6666666666666666,words-mini,glmnet,100
0.3877076152475081,0.6122923847524919,Yes,12,7,1,1,0,0.631578947368421,words-mini,glmnet,100
0.90250107156334,0.09749892843666012,No,1,0,0.08333333333333333,0,1,1,words-mini,glmnet,101
0.7847801883667931,0.21521981163320697,No,2,0,0.16666666666666666,0,1,1,words-mini,glmnet,101
0.7704216546435618,0.22957834535643823,No,3,0,0.25,0,1,1,words-mini,glmnet,101
0.7455660620992932,0.25443393790070684,Yes,3,1,0.25,0.14285714285714285,0.8571428571428572,0.75,words-mini,glmnet,101
0.7332927257285816,0.2667072742714184,Yes,3,2,0.25,0.2857142857142857,0.7142857142857143,0.6,words-mini,glmnet,101
0.733263042512917,0.2667369574870831,No,4,2,0.3333333333333333,0.2857142857142857,0.7142857142857143,0.6666666666666666,words-mini,glmnet,101
0.7075440034483579,0.2924559965516421,Yes,4,3,0.3333333333333333,0.42857142857142855,0.5714285714285714,0.5714285714285714,words-mini,glmnet,101
0.6983878255998539,0.30161217440014604,No,5,3,0.4166666666666667,0.42857142857142855,0.5714285714285714,0.625,words-mini,glmnet,101
0.6769884026361004,0.32301159736389967,No,6,3,0.5,0.42857142857142855,0.5714285714285714,0.6666666666666666,words-mini,glmnet,101
0.6668141676456371,0.33318583235436294,No,7,3,0.5833333333333334,0.42857142857142855,0.5714285714285714,0.7,words-mini,glmnet,101
0.6645128727410781,0.33548712725892194,Yes,7,4,0.5833333333333334,0.5714285714285714,0.4285714285714286,0.6363636363636364,words-mini,glmnet,101
0.6617828547408847,0.3382171452591153,No,8,4,0.6666666666666666,0.5714285714285714,0.4285714285714286,0.6666666666666666,words-mini,glmnet,101
0.6588052565929101,0.3411947434070899,No,9,4,0.75,0.5714285714285714,0.4285714285714286,0.6923076923076923,words-mini,glmnet,101
0.6402694827380198,0.3597305172619803,No,10,4,0.8333333333333334,0.5714285714285714,0.4285714285714286,0.7142857142857143,words-mini,glmnet,101
0.6380033944314802,0.3619966055685197,No,11,4,0.9166666666666666,0.5714285714285714,0.4285714285714286,0.7333333333333333,words-mini,glmnet,101
0.5820255043758464,0.4179744956241536,Yes,11,5,0.9166666666666666,0.7142857142857143,0.2857142857142857,0.6875,words-mini,glmnet,101
0.5494099232058238,0.45059007679417623,Yes,11,6,0.9166666666666666,0.8571428571428571,0.1428571428571429,0.6470588235294118,words-mini,glmnet,101
0.5239691773275403,0.47603082267245966,Yes,11,7,0.9166666666666666,1,0,0.6111111111111112,words-mini,glmnet,101
0.4595033889511458,0.5404966110488543,No,12,7,1,1,0,0.631578947368421,words-mini,glmnet,101
